,datetime,depto,op1,op2,op3,prop1,prop2,prop3,prop4,total
0,2013/01,META,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.6548750881976584,0.21587199081548453,0.10522728088113946,0.024025640105717727,83619
0,2013/01,NARIÑO,TELMEX COLOMBIA S.A.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),DIRECTV COLOMBIA LTDA,0.5272518258047065,0.2379632134162835,0.13580831304661437,0.09897664773239567,44364
0,2013/01,PUTUMAYO,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.6692144373673036,0.17367303609341825,0.15711252653927812,1.1102230246251565e-16,9420
0,2013/01,QUINDÍO,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.4054061909606162,0.3387153030082837,0.1306205493387589,0.1252579566923413,68810
0,2013/01,SUCRE,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.6469743221404202,0.14787214939845575,0.09626952774286228,0.10888400071826188,44552
0,2013/01,VAUPÉS,DIRECTV COLOMBIA LTDA,No hay,No hay,1.0,0.0,0.0,0.0,595
0,2013/01,VICHADA,DIRECTV COLOMBIA LTDA,TELMEX COLOMBIA S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.689514483884129,0.27254181966544266,0.037943696450428395,0.0,2451
0,2013/02,ANTIOQUIA,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,0.6485495520675503,0.2018515521950406,0.0975570887087679,0.05204180702864125,815748
0,2013/02,ARAUCA,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,T V SATELITE ARAUCA LTDA,0.3366374380480366,0.22197865040030498,0.16812809759817005,0.2732558139534884,10492
0,2013/02,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",TV ISLA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,DIRECTV COLOMBIA LTDA,0.552499620118523,0.3099832852150129,0.07354505394316974,0.06397204072329443,6581
0,2013/02,ATLÁNTICO,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.34759827942394633,0.27428916456252056,0.23448337807762554,0.14362917793590757,200398
0,2013/02,BOLÍVAR,UNE EPM TELECOMUNICACIONES S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.48720543141601463,0.17686087016969312,0.1367740540206536,0.19915964439363865,129469
0,2013/02,CALDAS,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.5210692776788758,0.17076057725086172,0.1355819855308511,0.17258815953941142,105604
0,2013/02,CAQUETA,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.6478967054362863,0.17948455192908747,0.08064764051852231,0.09197110211610382,19517
0,2013/02,CAUCA,TELMEX COLOMBIA S.A.,CABLE CAUCA S.A,DIRECTV COLOMBIA LTDA,0.4084791139472623,0.18351853889316758,0.18063960098287307,0.22736274617669716,54534
0,2013/02,CHOCÓ,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.6604659786168964,0.25740065508930227,0.08213336629380137,0.0,16181
0,2013/02,CUNDINAMARCA,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,H V TELEVISION S.A.S.,0.5332051855163165,0.25932945909700494,0.12432275368797496,0.08314260169870358,223700
0,2013/02,CÓRDOBA,DIRECTV COLOMBIA LTDA,TELMEX COLOMBIA S.A.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.30398598991153886,0.3003188193207502,0.16854016674400155,0.22715502402370935,66809
0,2013/02,HUILA,TELMEX COLOMBIA S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,DIRECTV COLOMBIA LTDA,0.5329850471871553,0.17793234465007968,0.174960166687094,0.11412244147567097,65272
0,2013/02,LA GUAJIRA,DIRECTV COLOMBIA LTDA,TELMEX COLOMBIA S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.37249697720369224,0.262762098557905,0.17567607419859035,0.18906485003981244,33909
0,2013/02,NORTE DE SANTANDER,TELMEX COLOMBIA S.A.,INGELCOM Ingeniería Electrónica y de Telecomunicaciones S.A.S.,DIRECTV COLOMBIA LTDA,0.5718634719386841,0.10782206941012142,0.10506428852834784,0.21525017012284664,111684
0,2013/02,RISARALDA,UNE EPM TELECOMUNICACIONES S.A.,TELMEX COLOMBIA S.A.,GLOBAL T.V. TELECOMUNICACIONES S.A. (Antes CABLEVISTA S.A.),0.5879995590967783,0.21786917771549144,0.10195887002802885,0.0921723931597015,127012
0,2013/02,SANTANDER,TELMEX COLOMBIA S.A.,UNE EPM TELECOMUNICACIONES S.A.,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.35868751191965803,0.3532033063386997,0.1477851531065536,0.14032402863508875,214981
0,2013/02,TOLIMA,TELMEX COLOMBIA S.A.,DIRECTV COLOMBIA LTDA,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,0.6897200851203142,0.1541896291446136,0.11734962987213765,0.0387406558629344,109962
