datetime,id_departamento,departamento,id_municipio,municipio,accesos
2017/02,15,BOYACÁ,15176,CHIQUINQUIRÁ,4396
2017/02,76,VALLE DEL CAUCA,76248,EL CERRITO,4395
2017/02,23,CÓRDOBA,23466,MONTELÍBANO,4377
2017/02,76,VALLE DEL CAUCA,76895,ZARZAL,4321
2017/02,73,TOLIMA,73449,MELGAR,4266
2017/02,5,ANTIOQUIA,5887,YARUMAL,4177
2017/02,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88001,SAN ANDRÉS,4142
2017/02,5,ANTIOQUIA,5579,PUERTO BERRÍO,4039
2017/02,23,CÓRDOBA,23555,PLANETA RICA,3875
2017/02,86,PUTUMAYO,86001,MOCOA,3829
2017/02,76,VALLE DEL CAUCA,76622,ROLDANILLO,3773
2017/02,68,SANTANDER,68755,SOCORRO,3746
2017/02,25,CUNDINAMARCA,25740,SIBATÉ,3715
2017/02,86,PUTUMAYO,86568,PUERTO ASÍS,3633
2017/02,20,CESAR,20013,AGUSTÍN CODAZZI,3554
2017/02,8,ATLÁNTICO,8296,GALAPA,3474
2017/02,76,VALLE DEL CAUCA,76736,SEVILLA,3472
2017/02,5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,3434
2017/02,66,RISARALDA,66400,LA VIRGINIA,3424
2017/02,25,CUNDINAMARCA,25758,SOPÓ,3375
2017/02,47,MAGDALENA,47288,FUNDACIÓN,3262
2017/02,19,CAUCA,19573,PUERTO TEJADA,3260
2017/02,8,ATLÁNTICO,8638,SABANALARGA,3237
2017/02,63,QUINDÍO,63190,CIRCASIA,3209
2017/02,52,NARIÑO,52835,TUMACO - SAN ANDRES DE TUMACO,3195
2017/02,73,TOLIMA,73168,CHAPARRAL,3164
2017/02,63,QUINDÍO,63470,MONTENEGRO,3144
2017/02,5,ANTIOQUIA,5250,EL BAGRE,3135
2017/02,63,QUINDÍO,63401,LA TEBAIDA,3118
2017/02,5,ANTIOQUIA,5697,EL SANTUARIO,3044
2017/02,76,VALLE DEL CAUCA,76275,FLORIDA,3043
2017/02,63,QUINDÍO,63594,QUIMBAYA,3030
2017/02,76,VALLE DEL CAUCA,76563,PRADERA,2983
2017/02,5,ANTIOQUIA,5042,SANTAFÉ DE ANTIOQUIA,2967
2017/02,13,BOLÍVAR,13244,EL CARMEN DE BOLÍVAR,2861
2017/02,5,ANTIOQUIA,5034,ANDES,2835
2017/02,13,BOLÍVAR,13052,ARJONA,2744
2017/02,73,TOLIMA,73443,MARIQUITA - SAN SEBASTIÁN DE MARIQUITA,2663
2017/02,5,ANTIOQUIA,5030,AMAGÁ,2642
2017/02,76,VALLE DEL CAUCA,76122,CAICEDONIA,2607
2017/02,15,BOYACÁ,15516,PAIPA,2602
2017/02,8,ATLÁNTICO,8078,BARANOA,2569
2017/02,5,ANTIOQUIA,5664,SAN PEDRO DE LOS MILAGROS,2496
2017/02,73,TOLIMA,73275,FLANDES,2487
2017/02,73,TOLIMA,73349,HONDA,2481
2017/02,20,CESAR,20060,BOSCONIA,2471
2017/02,76,VALLE DEL CAUCA,76318,GUACARÍ,2403
2017/02,73,TOLIMA,73411,LÍBANO,2351
2017/02,76,VALLE DEL CAUCA,76400,LA UNIÓN,2344
2017/02,25,CUNDINAMARCA,25785,TABIO,2312
2017/02,23,CÓRDOBA,23807,TIERRALTA,2297
2017/02,5,ANTIOQUIA,5756,SONSON,2294
2017/02,81,ARAUCA,81736,SARAVENA,2266
2017/02,25,CUNDINAMARCA,25386,LA MESA,2254
2017/02,25,CUNDINAMARCA,25875,VILLETA,2244
2017/02,25,CUNDINAMARCA,25843,VILLA DE SAN DIEGO DE UBATE,2208
2017/02,41,HUILA,41132,CAMPOALEGRE,2203
2017/02,5,ANTIOQUIA,5237,DONMATÍAS,2180
2017/02,68,SANTANDER,68077,BARBOSA,2098
2017/02,76,VALLE DEL CAUCA,76233,DAGUA,2069
2017/02,85,CASANARE,85010,AGUAZUL,2029
2017/02,23,CÓRDOBA,23182,CHINÚ,2009
2017/02,5,ANTIOQUIA,5400,LA UNIÓN,2001
2017/02,5,ANTIOQUIA,5101,CIUDAD BOLÍVAR,1971
2017/02,27,CHOCÓ,27361,ISTMINA,1962
2017/02,85,CASANARE,85440,VILLANUEVA,1954
2017/02,44,LA GUAJIRA,44650,SAN JUAN DEL CESAR,1952
2017/02,44,LA GUAJIRA,44279,FONSECA,1928
2017/02,17,CALDAS,17614,RIOSUCIO,1922
2017/02,5,ANTIOQUIA,5604,REMEDIOS,1803
2017/02,5,ANTIOQUIA,5679,SANTA BÁRBARA,1777
2017/02,76,VALLE DEL CAUCA,76113,BUGALAGRANDE,1774
2017/02,50,META,50573,PUERTO LÓPEZ,1770
2017/02,5,ANTIOQUIA,5282,FREDONIA,1760
2017/02,41,HUILA,41396,LA PLATA,1759
2017/02,5,ANTIOQUIA,5031,AMALFI,1755
2017/02,70,SUCRE,70670,SAMPUÉS,1747
2017/02,70,SUCRE,70820,SANTIAGO DE TOLÚ,1745
2017/02,85,CASANARE,85250,PAZ DE ARIPORO,1707
2017/02,23,CÓRDOBA,23189,CIÉNAGA DE ORO,1674
2017/02,50,META,50689,SAN MARTÍN,1643
2017/02,47,MAGDALENA,47555,PLATO,1636
2017/02,25,CUNDINAMARCA,25799,TENJO,1624
2017/02,73,TOLIMA,73319,GUAMO,1622
2017/02,5,ANTIOQUIA,5847,URRAO,1606
2017/02,76,VALLE DEL CAUCA,76036,ANDALUCÍA,1600
2017/02,68,SANTANDER,68575,PUERTO WILCHES,1585
2017/02,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,1575
2017/02,8,ATLÁNTICO,8685,SANTO TOMÁS,1563
2017/02,13,BOLÍVAR,13468,SANTA CRUZ DE MOMPOX,1547
2017/02,5,ANTIOQUIA,5591,PUERTO TRIUNFO,1537
2017/02,5,ANTIOQUIA,5541,PEÑOL,1530
2017/02,15,BOYACÁ,15407,VILLA DE LEYVA,1520
2017/02,68,SANTANDER,68406,LEBRIJA,1511
2017/02,68,SANTANDER,68432,MÁLAGA,1500
2017/02,25,CUNDINAMARCA,25320,GUADUAS,1496
2017/02,5,ANTIOQUIA,5490,NECOCLÍ,1407
2017/02,23,CÓRDOBA,23672,SAN ANTERO,1394
2017/02,23,CÓRDOBA,23068,AYAPEL,1384
2017/02,73,TOLIMA,73585,PURIFICACIÓN,1350
2017/02,52,NARIÑO,52838,TÚQUERRES,1323
2017/02,95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,1301
2017/02,5,ANTIOQUIA,5670,SAN ROQUE,1285
2017/02,50,META,50226,CUMARAL,1246
2017/02,76,VALLE DEL CAUCA,76890,YOTOCO,1245
2017/02,17,CALDAS,17042,ANSERMA,1220
2017/02,5,ANTIOQUIA,5790,TARAZÁ,1187
2017/02,44,LA GUAJIRA,44874,VILLANUEVA,1170
2017/02,5,ANTIOQUIA,5656,SAN JERÓNIMO,1158
2017/02,5,ANTIOQUIA,5190,CISNEROS,1156
2017/02,5,ANTIOQUIA,5368,JERICÓ,1151
2017/02,47,MAGDALENA,47245,EL BANCO,1148
2017/02,73,TOLIMA,73408,LÉRIDA,1146
2017/02,20,CESAR,20710,SAN ALBERTO,1134
2017/02,5,ANTIOQUIA,5585,PUERTO NARE,1113
2017/02,5,ANTIOQUIA,5861,VENECIA,1109
2017/02,5,ANTIOQUIA,5364,JARDÍN,1099
2017/02,19,CAUCA,19548,PIENDAMÓ - TUNÍA,1097
2017/02,85,CASANARE,85139,MANÍ,1084
2017/02,68,SANTANDER,68167,CHARALÁ,1079
